	en	zh
EditConfigs_Ipv6PublicAddrAutoDesc	Automatically use this machine's public IPv6 address as the address reachable by other nodes.	自动使用本机公网 IPv6 地址作为可被其他节点访问的地址。
EditConfigs_EnableKcpProxy	Enable KCP Proxy	启用 KCP 代理
EditConfigs_EnableKcpProxyDesc	Convert TCP traffic to KCP to reduce latency and improve transfer speed.	将 TCP 流量转为 KCP 流量降低传输延迟，提升传输速度。
EditConfigs_DisableKcpInput	Disable KCP Input	禁用 KCP 输入
EditConfigs_DisableKcpInputDesc	Disable inbound KCP traffic; nodes with KCP proxy enabled still connect to this node over TCP.	禁用 KCP 入站流量，其他开启KCP代理的节点仍然使用 TCP 连接到本节点。
EditConfigs_EnableQuicProxy	Enable QUIC Proxy	启用 QUIC 代理
EditConfigs_EnableQuicProxyDesc	Convert TCP traffic to QUIC to reduce latency and improve transfer speed.	将 TCP 流量转为 QUIC 流量，降低传输延迟，提升传输速度。
EditConfigs_DisableQuicInput	Disable QUIC Input	禁用 QUIC 输入
EditConfigs_DisableQuicInputDesc	Disable inbound QUIC traffic; nodes with QUIC proxy enabled still connect to this node over TCP.	禁用 QUIC 入站流量，其他开启 QUIC 代理的节点仍然使用 TCP 连接到本节点。
EditConfigs_DisableP2p	Disable P2P	禁用 P2P
EditConfigs_DisableP2pDesc	Disable P2P; all traffic is relayed through manually specified servers.	禁用 P2P，所有流量通过手动指定的服务器中转。
EditConfigs_P2pOnly	P2P Only	仅使用 P2P
EditConfigs_P2pOnlyDesc	Use only direct P2P connections and do not forward data through relays.	只使用 P2P 直连，不通过中继转发数据。
EditConfigs_LazyP2p	Lazy P2P	懒加载 P2P
EditConfigs_LazyP2pDesc	Establish P2P connections lazily, attempting direct connection only when data needs to be sent.	延迟建立 P2P 连接，仅在需要传输数据时尝试直连。
EditConfigs_BindDevice	Use Physical Adapter Only	仅使用物理网卡
EditConfigs_BindDeviceDesc	Use only the physical adapter to prevent EasyTier from connecting through other virtual adapters.	仅使用物理网卡，避免 EasyTier 通过其他虚拟网卡建立连接。
EditConfigs_NoTun	No TUN Mode	无 TUN 模式
EditConfigs_NoTunDesc	Do not use a TUN adapter; suitable when no administrator privileges are available. This node can only be accessed. Accessing other nodes requires SOCKS5.	不使用 TUN 网卡，适合无管理员权限时使用。本节点仅允许被访问。访问其他节点需要使用 SOCKS5。
EditConfigs_EnableExitNode	Enable Exit Node	启用出口节点
EditConfigs_EnableExitNodeDesc	Allow this node to act as an exit node.	充许此节点成为出口节点。
EditConfigs_RelayAllPeerRpc	Relay RPC Packets	转发 RPC 包
EditConfigs_RelayAllPeerRpcDesc	Allow relaying RPC packets of all peers, even peers not in the relay network whitelist. This helps peers in non-whitelisted networks establish P2P connections.	允许转发所有对等节点的 RPC 数据包，即使对等节点不在转发网络白名单中。这可以帮助白名单外网络中的对等节点建立 P2P 连接。
EditConfigs_NeedP2p	Need P2P	需要 P2P
EditConfigs_NeedP2pDesc	Declare that this node needs P2P connections so other nodes still try to connect to it directly.	声明本节点需要 P2P 连接，让其他节点仍尝试与本节点直连。
EditConfigs_MultiThread	Enable Multi-Threading	启用多线程
EditConfigs_MultiThreadDesc	Use the multi-threaded runtime.	使用多线程运行时。
EditConfigs_ProxyForwardBySystem	System Forwarding	系统转发
EditConfigs_ProxyForwardBySystemDesc	Forward subnet proxy packets through the system kernel and disable the built-in NAT.	通过系统内核转发子网代理数据包，禁用内置 NAT。
EditConfigs_DisableEncryption	Disable Encryption	禁用加密
EditConfigs_DisableEncryptionDesc	Disable encryption for peer communication. Default is false and must match the peer.	禁用对等节点通信的加密，默认为 false，必须与对等节点相同。
EditConfigs_DisableTcpHolePunching	Disable TCP Hole Punching	禁用 TCP 打洞
EditConfigs_DisableTcpHolePunchingDesc	Disable the TCP hole punching feature.	禁用 TCP 打洞功能。
EditConfigs_DisableUdpHolePunching	Disable UDP Hole Punching	禁用 UDP 打洞
EditConfigs_DisableUdpHolePunchingDesc	Disable the UDP hole punching feature. In some corporate networks, UDP hole punching may be flagged as malware.	禁用 UDP 打洞功能。某些公司网络环境下，UDP 打洞可能会被识别为恶意软件。
EditConfigs_EnableUdpBroadcastRelay	Enable UDP Broadcast Relay	启用 UDP 广播中继
EditConfigs_EnableUdpBroadcastRelayDesc	Forward UDP broadcast traffic, used for LAN discovery protocols.	转发 UDP 广播流量，用于局域网发现类协议。
EditConfigs_DisableUpnp	Disable UPnP	禁用 UPnP
EditConfigs_DisableUpnpDesc	Disable UPnP port mapping.	禁用 UPnP 端口映射。
EditConfigs_DisableSymHolePunching	Disable Symmetric NAT Hole Punching	禁用对称 NAT 打洞
EditConfigs_DisableSymHolePunchingDesc	Disable the symmetric NAT hole punching optimization.	禁用对称 NAT 打洞优化。
EditConfigs_AcceptDns	Enable Magic DNS	启用魔法 DNS
EditConfigs_AcceptDnsDesc	Enable Magic DNS to access other nodes' virtual IPv4 addresses through EasyTier's DNS server, e.g. node1.et.net.	启用魔法 DNS，允许通过 EasyTier 的 DNS 服务器访问其他节点的虚拟 IPv4 地址，如 node1.et.net。
EditConfigs_PrivateMode	Enable Private Mode	启用私有模式
EditConfigs_PrivateModeDesc	Enable private mode so nodes using a network name and password different from the local network cannot handshake or relay through this node.	启用私有模式，则不允许使用了与本地网络不相同的网络名称和密码的节点通过本节点进行握手或中转。
EditConfigs_Save	Save	保存
EditConfigs_Cancel	Cancel	取消
EditConfigs_GetCurrentProxyNetworksFailed	Failed to get current proxy networks: {0}	获取当前子网代理失败：{0}
Configs_EasyTierConfig	EasyTier Config	EasyTier 配置
Configs_Settings	Settings	设置
Configs_SelectConfig	Select Config	选择配置
Configs_RestartService	Restart Service	重启服务
Configs_StopService	Stop Service	停止服务
Configs_EditConfig	Edit Config	编辑配置
Configs_TestConfig	Test Config	测试配置
Configs_MoreActions	More Actions...	更多功能...
Configs_InstallService	Install Service	安装服务
Configs_UninstallService	Uninstall Service	卸载服务
Configs_EditRawConfigFile	Edit Raw Config File	编辑原始配置文件
Configs_RenameConfig	Rename Config	重命名配置
Configs_DeleteConfig	Delete Config	删除配置
Configs_SyncDelete	Sync Delete	同步删除
Configs_SyncDeleteTip	Delete extra configs on other nodes when syncing	同步时删除其他节点的多余配置
Configs_Sync	Sync	同步
Configs_SyncTip	Sync configs to other nodes	同步配置到其他节点
Configs_RefreshList	Refresh List	刷新列表
Configs_AddConfig	Add Config	新增配置
Configs_RestartSelectedServices	Restart Selected Services	重启选中的服务
Configs_StopSelectedServices	Stop Selected Services	停止选中的服务
Configs_EditSelectedConfigs	Edit Selected Configs	编辑选中的配置
Configs_InstallSelectedServices	Install Selected Services	安装选中的服务
Configs_UninstallSelectedServices	Uninstall Selected Services	卸载选中的服务
Configs_EditSelectedRawConfigFiles	Edit Selected Raw Config Files	编辑选中的原始配置文件
Configs_DeleteSelectedConfigs	Delete Selected Configs	删除选中的配置
Configs_Log	Log	日志
Configs_TestConfigFailed	Failed to test config: {0}	测试配置失败：{0}
Configs_MultipleConfigInstanceName	(Selected Configs)	（选中的配置）
Configs_ConfigFileAlreadyExists	Config file '{0}.toml' already exists.	配置文件“{0}.toml”已存在。
Configs_RenameConfigFailed	Failed to rename config: {0}	重命名配置失败：{0}
Configs_DeleteConfigTitle	Delete Config	删除配置
Configs_DeleteConfigConfirm	Are you sure you want to delete this config?	确定要删除此配置吗？
Configs_DeleteSelectedConfigsTitle	Delete Selected Configs	删除选中的配置
Configs_DeleteSelectedConfigsConfirm	Are you sure you want to delete selected configs?	确定要删除选中的配置吗？
Configs_SelectedConfigsSummary	{0} configs selected	已选 {0} 个配置
Configs_EasyTierNotInstalled	EasyTier is not installed	EasyTier 未安装
Configs_InstallServiceFailed	Failed to install service {0}\n{1}	安装服务 {0} 失败\n{1}
Configs_UninstallServiceFailed	Failed to uninstall service {0}\n{1}\n{2}	卸载服务 {0} 失败\n{1}\n{2}
Configs_NoRpcClientsFound	No rpc clients found	未找到 rpc 客户端
Configs_SyncingConfigsWith	Syncing configs with {0}	正在与 {0} 同步配置
Configs_SentFilesTo	Sent {0} files to {1}	已发送 {0} 个文件到 {1}
Configs_ReceivedFilesFrom	Received {0} files from {1}	已从 {1} 接收 {0} 个文件
Configs_DeletedFilesIn	Deleted {0} files in {1}	已删除 {1} 中的 {0} 个文件
Configs_SyncedConfigsWith	Synced configs with {0}	已与 {0} 同步配置
Info_Info	Info	信息
Info_ShowNodes	Show Nodes	显示节点
Info_ShowRoute	Show Route	显示路由
Info_AutoRefreshOnActivate	Auto refresh on window activation	激活窗口时自动刷新
Info_Config	Config	配置
Info_Hostname	Hostname	主机名
Info_Latency	Latency	延迟
Info_LossRate	Loss	丢包
Info_Received	Received	接收
Info_Sent	Sent	发送
Info_Tunnel	Tunnel	隧道
Info_Version	Version	版本
Info_ProxyCidrs	Proxy CIDRs	代理网段
Info_NextHop	Next Hop	下一跳
Info_NextHopLatency	Next Hop Latency	下一跳延迟
Info_PathLength	Path Length	路径长度
Info_PathLatency	Path Latency	路径延迟
Info_EasyTierNotInstalled	EasyTier is not installed	EasyTier 未安装
Info_FailedToLoadPeers	Failed to load peers from {0}: {1}	从 {0} 加载节点失败：{1}
Info_FailedToLoadRoutes	Failed to load routes from {0}: {1}	从 {0} 加载路由失败：{1}
Info_NoRunningServices	No running EasyTier services found	未找到正在运行的 EasyTier 服务
Main_WindowTitle	Jeek EasyTier Manager	Jeek EasyTier 管理器
Main_RenameConfig	Rename config:	重命名配置：
Main_AddConfig	Add config:	新增配置：
Main_EnterNewName	Enter new name...	输入新名称...
Main_Cancel	Cancel	取消
Main_Save	Save	保存
Main_Close	Close	关闭
Update_EasyTierVersionStatus	EasyTier local version is {0}, remote version is {1}	EasyTier 本地版本为 {0}，远程版本为 {1}
Update_EasyTierTitle	Update EasyTier	更新 EasyTier
Update_ConfirmEasyTier	Do you want to update easytier to {0}?	是否将 EasyTier 更新到 {0}？
Update_UpdatingEasyTier	Updating EasyTier to {0}...	正在将 EasyTier 更新到 {0}...
Update_StartDownloading	Start downloading EasyTier from {0}	开始从 {0} 下载 EasyTier
Update_DownloadingProgress	Downloading EasyTier... {0:F2}%	正在下载 EasyTier... {0:F2}%
Update_EasyTierFailed	Update EasyTier failed: {0}	更新 EasyTier 失败：{0}
Update_EasyTierCompleted	Update EasyTier to {0} completed.	已将 EasyTier 更新到 {0}。
Update_NoEasyTierUpdate	No update of EasyTier found.	未发现 EasyTier 的更新。
Update_CheckingUpdate	Checking update from {0}	正在从 {0} 检查更新
Update_MeBuildStatus	My local build is {0}, remote build is {1}	本地构建为 {0}，远程构建为 {1}
Update_MeTitle	Update Me	更新本程序
Update_ConfirmMe	Do you want to update me to build {0}?	是否将本程序更新到构建 {0}？
Update_UpdatingMe	Updating me...	正在更新本程序...
Update_MeFailedLaunchUpdater	Update me failed: failed to launch updater.	更新本程序失败：无法启动更新程序。
Update_MeCheckFailed	Check update of me failed: {0}	检查本程序更新失败：{0}
Update_NoMeUpdate	No update of me found.	未发现本程序的更新。
Update_UnknownBuild	unknown	未知
Update_BuildLabel	Build {0}	构建 {0}
Update_DevBuild	Development build	开发版构建
Update_OpenHomePageFailed	Failed to open home page: {0}	打开主页失败：{0}
Storage_AskMoveFiles	Move the existing files to the new location?\nYes: move the Config and Settings folders there.\nNo: keep the files where they are and use the new location as is.	是否将现有文件移动到新位置？\n是：把 Config 和 Settings 目录整体移动过去。\n否：不移动任何文件，直接使用新位置。
Storage_LeavePortableMustMove	Leaving portable mode requires moving the files, otherwise portable mode will be detected again on next startup. Move and continue?	离开便携模式必须移动文件，否则下次启动会再次检测为便携模式。是否移动并继续？
